Date,StationCode,State,District,Rainfall (mm),Groundwater Level (m),Temperature (°C),River Water Level (m),Scarcity
2024-01-01,ASS_BAR,Assam,Barpeta,0.0,20.0,41.3,14.3,0
2024-01-02,ASS_BAR,Assam,Barpeta,0.0,20.0,35.4,12.7,0
2024-01-03,ASS_BAR,Assam,Barpeta,17.9,20.0,22.9,11.48,0
2024-01-04,ASS_BAR,Assam,Barpeta,0.0,20.0,27.5,10.31,0
2024-01-05,ASS_BAR,Assam,Barpeta,0.0,20.0,30.6,5.56,0
2024-01-06,ASS_BAR,Assam,Barpeta,0.0,20.0,19.3,12.94,0
2024-01-07,ASS_BAR,Assam,Barpeta,2.0,20.0,43.9,13.4,0
2024-01-08,ASS_BAR,Assam,Barpeta,0.0,20.0,17.1,4.84,1
2024-01-09,ASS_BAR,Assam,Barpeta,8.0,20.0,29.1,6.8,0
2024-01-10,ASS_BAR,Assam,Barpeta,0.4,20.0,21.5,3.39,1
2024-01-11,ASS_BAR,Assam,Barpeta,15.3,20.0,30.5,9.54,0
2024-01-12,ASS_BAR,Assam,Barpeta,8.6,20.0,17.4,9.64,0
2024-01-13,ASS_BAR,Assam,Barpeta,14.5,20.0,35.1,1.43,0
2024-01-14,ASS_BAR,Assam,Barpeta,11.0,20.0,24.9,13.26,0
2024-01-15,ASS_BAR,Assam,Barpeta,2.8,20.0,11.8,6.07,0
2024-01-16,ASS_BAR,Assam,Barpeta,0.0,20.0,17.3,14.33,0
2024-01-17,ASS_BAR,Assam,Barpeta,0.0,20.0,17.0,4.3,1
2024-01-18,ASS_BAR,Assam,Barpeta,7.4,20.0,39.5,7.91,0
2024-01-19,ASS_BAR,Assam,Barpeta,2.3,20.0,28.5,1.8,1
2024-01-20,ASS_BAR,Assam,Barpeta,5.3,20.0,40.5,6.24,0
2024-01-21,ASS_BAR,Assam,Barpeta,9.8,20.0,13.3,10.04,0
2024-01-22,ASS_BAR,Assam,Barpeta,7.0,20.0,35.7,3.41,1
2024-01-23,ASS_BAR,Assam,Barpeta,13.2,20.0,35.9,8.2,0
2024-01-24,ASS_BAR,Assam,Barpeta,0.0,20.0,37.1,4.64,1
2024-01-25,ASS_BAR,Assam,Barpeta,0.0,20.0,39.5,1.83,1
2024-01-26,ASS_BAR,Assam,Barpeta,16.0,20.0,28.1,2.58,0
